"B1682032";"AN385744";"GUIA251120";25/11/2011 0:00:00
"B1682051";"AN384788";"GUIA251120";25/11/2011 0:00:00
"B1692260";"AN410428";"GUIA121220";12/12/2011 0:00:00
"B1692261";"AN409331";"GUIA121220";12/12/2011 0:00:00
"B1692355";"AN431177";"GUIA261220";26/12/2011 0:00:00
"B1692448";"AN425858";"GUIA211220";21/12/2011 0:00:00
"B1692516";"AN424460";"GUIA201220";20/12/2011 0:00:00
"B1692573";"AN418754";"GUIA161220";16/12/2011 0:00:00
"B1692600";"AN418123";"GUIA161220";16/12/2011 0:00:00
"B1692807";"AN417837";"GUIA151220";15/12/2011 0:00:00
"B1692808";"AN418058";"GUIA151220";15/12/2011 0:00:00
"B1692879";"AN420506";"GUIA191220";19/12/2011 0:00:00
"B1692885";"AN420267";"GUIA191220";19/12/2011 0:00:00
"B1693180";"AN415764";"GUIA141220";14/12/2011 0:00:00
"B1693181";"AN414502";"GUIA141220";14/12/2011 0:00:00
"B1693189";"AN415915";"GUIA141220";14/12/2011 0:00:00
"B1693331";"AN444409";"GN14955109";3/1/2012 0:00:00
"B1693332";"AN443398";"14955109";3/1/2012 0:00:00
"B1693453";"AN441548";"GN14955080";2/1/2012 0:00:00
"B1693542";"AN438944";"GUIA291220";29/12/2011 0:00:00
"B1693587";"AN429171";"GUIA221220";22/12/2011 0:00:00
"B1693630";"AN430146";"GUIA231220";23/12/2011 0:00:00
"B1693898";"AN434063";"GUIA271220";27/12/2011 0:00:00
"B1693911";"AN435240";"GUIA271220";27/12/2011 0:00:00
"B1694005";"AN436071";"GUIA281220";28/12/2011 0:00:00
"B1718636";"AN617066";"GN15939134";20/3/2012 0:00:00
"B1718663";"AN617068";"GN15939134";20/3/2012 0:00:00
"B1718976";"AN631597";"GN15939333";26/3/2012 0:00:00
"B1729258";"AN505663";"GN15510260";26/1/2012 0:00:00
"B1732153";"AN613475";"GN15939089";16/3/2012 0:00:00
"B1745455";"AN505335";"GN15443425";25/1/2012 0:00:00
"B1745549";"AN508313";"GN15510260";26/1/2012 0:00:00
"B1745600";"AN472100";"15443208";18/1/2012 0:00:00
"B1745629";"AN475039";"15443208";18/1/2012 0:00:00
"B1745630";"AN475045";"15443208";18/1/2012 0:00:00
"B1745842";"AN477056";"GN15443266";19/1/2012 0:00:00
"B1745899";"AN494351";"GN15443294";20/1/2012 0:00:00
"B1745932";"AN478415";"GN15443294";20/1/2012 0:00:00
"B1745933";"AN495378";"GN15443294";20/1/2012 0:00:00
"B1746003";"AN499140";"GN15443342";23/1/2012 0:00:00
"B1746032";"AN500726";"GN15443390";24/1/2012 0:00:00
"B1752255";"AN601802";"GN15739687";12/3/2012 0:00:00
"B1753367";"AN567100";"GN15739174";23/2/2012 0:00:00
"B1753420";"AN576474";"GN15739317";28/2/2012 0:00:00
"B1753427";"AN576481";"GN15739317";28/2/2012 0:00:00
"B1753476";"AN572356";"GN15739258";27/2/2012 0:00:00
"B1753485";"AN573195";"GN15739265";27/2/2012 0:00:00
"B1753609";"AN544476";"GN15628425";13/2/2012 0:00:00
"B1753759";"AN564719";"GN15739130";22/2/2012 0:00:00
"B1753817";"AN578826";"GN15739357";29/2/2012 0:00:00
"B1753862";"AN580947";"GN15739398";1/3/2012 0:00:00
"B1753952";"AN579034";"GN15739398";1/3/2012 0:00:00
"B1754067";"AN582444";"GN15739425";2/3/2012 0:00:00
"B1754094";"AN524924";"GN15516743";3/2/2012 0:00:00
"B1754126";"AN527172";"GN15516743";3/2/2012 0:00:00
"B1754207";"AN529851";"GN15516778";6/2/2012 0:00:00
"B1754245";"AN528580";"GN15516778";6/2/2012 0:00:00
"B1754333";"AN547632";"GN15738889";14/2/2012 0:00:00
"B1754334";"AN545381";"GN15738889";14/2/2012 0:00:00
"B1754448";"AN561257";"GN15739085";21/2/2012 0:00:00
"B1754648";"AN511414";"GN15510307";27/1/2012 0:00:00
"B1754649";"AN511422";"GN15510307";27/1/2012 0:00:00
"B1754667";"AN514470";"GN15516567";30/1/2012 0:00:00
"B1754773";"AN549260";"GN15738927";15/2/2012 0:00:00
"B1755006";"AN552874";"GN15738962";16/2/2012 0:00:00
"B1755020";"AN552878";"GN15738962";16/2/2012 0:00:00
"B1755243";"AN531677";"GN15516826";7/2/2012 0:00:00
"B1755244";"AN532593";"GN15516826";7/2/2012 0:00:00
"B1755338";"AN539099";"GN15628071";10/2/2012 0:00:00
"B1755360";"AN541293";"GN15628071";10/2/2012 0:00:00
"B1755465";"AN536214";"GN15516868";8/2/2012 0:00:00
"B1755542";"AN538862";"GN15516909";9/2/2012 0:00:00
"B1755724";"AN555978";"GN1573906";17/2/2012 0:00:00
"B1755740";"AN556225";"GN15739006";17/2/2012 0:00:00
"B1755801";"AN557412";"GN15739047";20/2/2012 0:00:00
"B1755854";"AN558299";"GN15739047";20/2/2012 0:00:00
"B1755923";"AN570266";"GN15739204";24/2/2012 0:00:00
"B1756236";"AN515253";"GN15516600";31/1/2012 0:00:00
"B1756264";"AN516562";"GN15515500";31/1/2012 0:00:00
"B1756334";"AN520949";"GN15516648";1/2/2012 0:00:00
"B1756335";"AN520950";"GN15516648";1/2/2012 0:00:00
"B1756475";"AN542024";"GN16628071";10/2/2012 0:00:00
"B1756907";"AN524034";"GN15516703";3/2/2012 0:00:00
"B1756908";"AN522556";"GN15516703";2/2/2012 0:00:00
"B1756909";"AN524035";"GN15516703";2/2/2012 0:00:00
"B1757070";"AN562489";"GN15739130";22/2/2012 0:00:00
"B1757149";"AN596763";"GN15739609";8/3/2012 0:00:00
"B1757150";"AN596756";"GN15739609";8/3/2012 0:00:00
"B1757223";"AN592446";"GN15739561";7/3/2012 0:00:00
"B1757224";"AN593261";"GN15739561";7/3/2012 0:00:00
"B1757301";"AN588711";"GN15739510";6/3/2012 0:00:00
"B1757302";"AN590533";"GN15739510";6/3/2012 0:00:00
"B1757980";"AN585709";"GN15739469";5/3/2012 0:00:00
"B1758013";"AN584921";"GN15739469";5/3/2012 0:00:00
"B1760470";"AN610100";"GN15939059";15/3/2012 0:00:00
"B1760471";"AN612341";"GN15939059";15/3/2012 0:00:00
"B1760549";"AN632528";"GN15939359";27/3/2012 0:00:00
"B1777271";"AN609401";"GN15939008";14/3/2012 0:00:00
"B1778039";"AN606214";"GN15739735";13/3/2012 0:00:00
"B1778040";"AN603508";"GN15739735";13/3/2012 0:00:00
"B1778064";"AN603014";"GN15739702";12/3/2012 0:00:00
"B1793366";"AN620883";"GN15939181";21/3/2012 0:00:00
"B1793656";"AN630602";"GN15939302";26/3/2012 0:00:00
"B1793738";"AN626413";"GN15939258";23/3/2012 0:00:00
"B2385672";"AO169088";"GN17724041";26/11/2012 0:00:00
"B2385673";"AO170700";"GN17724041";26/11/2012 0:00:00
"B2594545";"AO753165";"GN19317319";3/7/2013 0:00:00
"B2594564";"AO755878";"GN19317319";3/7/2013 0:00:00
"B2629335";"AO749438";"GN19317264";2/7/2013 0:00:00
"B2629347";"AO750579";"GN19317264";2/7/2013 0:00:00
"B2629351";"AO750000";"GN19317269";2/7/2013 0:00:00
"B27282921";"AP122366";"GN20323795";8/11/2013 0:00:00
"B2771128";"AP146832";"GN20324028";19/11/2013 0:00:00
"B2771129";"AP148120";"GN20324028";19/11/2013 0:00:00
"B2771196";"AP145134";"GN20324028";19/11/2013 0:00:00
"B2772730";"AP136733";"GN20323936";15/11/2013 0:00:00
"B2772731";"AP136155";"GN20323936";15/11/2013 0:00:00
"B2772846";"AP131448";"GN20323881";13/11/2013 0:00:00
"B2772922";"AP129353";"GN20323881";13/11/2013 0:00:00
"B2773041";"AP100260";"GN20324979";31/10/2013 0:00:00
"B2773043";"AP100534";"GN20324979";31/10/2013 0:00:00
"B2773236";"AP124732";"GN20323836";12/11/2013 0:00:00
"B2773291";"AP126141";"GN20323836";12/11/2013 0:00:00
"B2773362";"AP089745";"GN20323593";29/10/2013 0:00:00
"B27772922";"AP129353";"GN20323881";13/11/2013 0:00:00
"B2781874";"AP102391";"GN20325020";1/11/2013 0:00:00
"B2781895";"AP104222";"GN20325020";1/11/2013 0:00:00
"B2782230";"AP116301";"GN20323757";7/11/2013 0:00:00
"B2782231";"AP116849";"GN20323757";7/11/2013 0:00:00
"B2782232";"AP115811";"GN20323757";7/11/2013 0:00:00
"B2782233";"AP118247";"GN20323757";7/11/2013 0:00:00
"B2782659";"AP120210";"GN20323795";8/11/2013 0:00:00
"B2782924";"AP121888";"GN20323795";8/11/2013 0:00:00
"B2784812";"AP086967";"GN20319738";28/10/2013 0:00:00
"B2784813";"AP088032";"GN20319738";28/10/2013 0:00:00
"B2790965";"AP214878";"GN20437846";11/12/2013 0:00:00
"B2790979";"AP209933";"GN20437846";11/12/2013 0:00:00
"B2790991";"AP213852";"GN20437846";11/12/2013 0:00:00
"B2797128";"AP099895";"GN20324979";31/10/2013 0:00:00
"B2797349";"AP107049";"GN20323663";5/11/2013 0:00:00
"B2797359";"AP109252";"GN20323663";5/11/2013 0:00:00
"B2797360";"AP108260";"GN20323663";5/11/2013 0:00:00
"B2797429";"AP113167";"GN20323713";7/11/2013 0:00:00
"B2805105";"AP207902";"GN20437807";10/12/2013 0:00:00
"B2805106";"AP209071";"GN20437807";10/12/2013 0:00:00
"B2806534";"AP197690";"GN20466857";5/12/2013 0:00:00
"B2806535";"AP198607";"GN20466857";5/12/2013 0:00:00
"B2806783";"AP179265";"GN20466690";29/11/2013 0:00:00
"B2819329";"AP094518";"GN20324928";30/10/2013 0:00:00
"B2819547";"AP096051";"GN20324928";30/10/2013 0:00:00
"B2819606";"AP092816";"GN20323598";29/10/2013 0:00:00
"B2819607";"AP090773";"GN20324928";29/10/2013 0:00:00
"B2827973";"AP149855";"GN20324069";20/11/2013 0:00:00
"B2828105";"AP151438";"GN20324069";20/11/2013 0:00:00
"B2828106";"AP151442";"GN20324069";20/11/2013 0:00:00
"B2828766";"AP141703";"GN20323992";19/11/2013 0:00:00
